title,cast,director,keywords,genres,soup
Easy A,"['emmastone', 'stanleytucci', 'amandabynes']",willgluck,"['lie', 'highschool', 'school']",['comedy'],lie highschool school emmastone stanleytucci amandabynes w i l l g l u c k comedy
The Inkwell,"['larenztate', 'joemorton', 'suzzannedouglas']",mattyrich,[],"['comedy', 'drama', 'romance']", larenztate joemorton suzzannedouglas m a t t y r i c h comedy drama romance
Shadow of the Vampire,"['johnmalkovich', 'willemdafoe', 'udokier']",e.eliasmerhige,"['filmdirector', 'dracula', '\xa0nosferatu']","['drama', 'horror']",filmdirector dracula  nosferatu johnmalkovich willemdafoe udokier e . e l i a s m e r h i g e drama horror
Prom,"['aimeeteegarden', 'thomasmcdonell', 'nicholasbraun']",joenussbaum,"['singleparent', 'waitress', 'fountain']",['comedy'],singleparent waitress fountain aimeeteegarden thomasmcdonell nicholasbraun j o e n u s s b a u m comedy
The Pallbearer,"['davidschwimmer', 'gwynethpaltrow', 'michaelrapaport']",mattreeves,"['independentfilm', 'mistakenidentity']","['comedy', 'romance']",independentfilm mistakenidentity davidschwimmer gwynethpaltrow michaelrapaport m a t t r e e v e s comedy romance
Held Up,"['jamiefoxx', 'nialong', 'barrycorbin']",steverash,[],['comedy'], jamiefoxx nialong barrycorbin s t e v e r a s h comedy
Woman on Top,"['penélopecruz', 'murilobenicio', 'markfeuerstein']",finatorres,['womandirector'],"['comedy', 'drama', 'romance']",womandirector penélopecruz murilobenicio markfeuerstein f i n a t o r r e s comedy drama romance
Howards End,"['vanessaredgrave', 'helenabonhamcarter', 'emmathompson']",jamesivory,"['basedonnovel', 'sistersisterrelationship', 'empowerment']","['drama', 'romance']",basedonnovel sistersisterrelationship empowerment vanessaredgrave helenabonhamcarter emmathompson j a m e s i v o r y drama romance
Anomalisa,"['davidthewlis', 'jenniferjasonleigh', 'tomnoonan']",charliekaufman,"['sex', 'depression', 'existentialism']","['animation', 'comedy', 'drama']",sex depression existentialism davidthewlis jenniferjasonleigh tomnoonan c h a r l i e k a u f m a n animation comedy drama
Another Year,"['jimbroadbent', 'lesleymanville', 'ruthsheen']",mikeleigh,"['jealousy', 'cooking', 'garden']","['comedy', 'drama']",jealousy cooking garden jimbroadbent lesleymanville ruthsheen m i k e l e i g h comedy drama
8 Women,"['catherinedeneuve', 'isabellehuppert', 'emmanuellebéart']",françoisozon,"['upperclass', 'women', 'fathermurder']","['comedy', 'thriller', 'music']",upperclass women fathermurder catherinedeneuve isabellehuppert emmanuellebéart f r a n ç o i s o z o n comedy thriller music
Showdown in Little Tokyo,"['dolphlundgren', 'brandonlee', 'cary-hiroyukitagawa']",markl.lester,"['yakuza', 'losangeles', 'samuraisword']","['action', 'thriller']",yakuza losangeles samuraisword dolphlundgren brandonlee cary-hiroyukitagawa m a r k l . l e s t e r action thriller
Clay Pigeons,"['joaquinphoenix', 'vincevaughn', 'janeanegarofalo']",daviddobkin,"['smalltown', 'fbi', 'widow']","['comedy', 'crime', 'drama']",smalltown fbi widow joaquinphoenix vincevaughn janeanegarofalo d a v i d d o b k i n comedy crime drama
It's Kind of a Funny Story,"['keirgilchrist', 'emmaroberts', 'zachgalifianakis']",ryanfleck,"['suicide', 'depression', 'independentfilm']","['comedy', 'drama']",suicide depression independentfilm keirgilchrist emmaroberts zachgalifianakis r y a n f l e c k comedy drama
Made in Dagenham,"['sallyhawkins', 'bobhoskins', 'mirandarichardson']",nigelcole,"['machinist', 'aftercreditsstinger', 'duringcreditsstinger']","['comedy', 'drama', 'history']",machinist aftercreditsstinger duringcreditsstinger sallyhawkins bobhoskins mirandarichardson n i g e l c o l e comedy drama history
When Did You Last See Your Father?,"['jimbroadbent', 'colinfirth', 'julietstevenson']",anandtucker,"['fathersonrelationship', 'memory', 'hospital']",['drama'],fathersonrelationship memory hospital jimbroadbent colinfirth julietstevenson a n a n d t u c k e r drama
Prefontaine,"['jaredleto', 'r.leeermey', ""edo'neill""]",stevejames,"['oregon', 'olympicgames', 'sport']","['drama', 'romance']",oregon olympicgames sport jaredleto r.leeermey edo'neill s t e v e j a m e s drama romance
The Wicked Lady,"['fayedunaway', 'johngielgud', 'denholmelliott']",michaelwinner,['highwayman'],"['drama', 'adventure']",highwayman fayedunaway johngielgud denholmelliott m i c h a e l w i n n e r drama adventure
The Secret of Kells,"['evanmcguire', 'christenmooney', 'brendangleeson']",tommmoore,"['barbarian', 'underwater', 'trapped']","['animation', 'family', 'fantasy']",barbarian underwater trapped evanmcguire christenmooney brendangleeson t o m m m o o r e animation family fantasy
Begin Again,"['markruffalo', 'keiraknightley', 'adamlevine']",johncarney,[],"['comedy', 'music', 'romance']", markruffalo keiraknightley adamlevine j o h n c a r n e y comedy music romance
Down in the Valley,"['edwardnorton', 'evanrachelwood', 'davidmorse']",davidjacobson,"['indianterritory', 'beach', 'stetson']","['drama', 'romance']",indianterritory beach stetson edwardnorton evanrachelwood davidmorse d a v i d j a c o b s o n drama romance
Brooklyn Rules,"['alecbaldwin', 'pauloaraujo', 'danieltay']",michaelcorrente,[],"['drama', 'action', 'thriller']", alecbaldwin pauloaraujo danieltay m i c h a e l c o r r e n t e drama action thriller
Restless,"['hayleyatwell', 'rufussewell', 'michelledockery']",edwardhall,"['spy', 'war', 'britishsecretservice']","['tvmovie', 'romance', 'drama']",spy war britishsecretservice hayleyatwell rufussewell michelledockery e d w a r d h a l l tvmovie romance drama
The Singing Detective,"['robertdowneyjr.', 'robinwright', 'melgibson']",keithgordon,[],"['comedy', 'music', 'mystery']", robertdowneyjr. robinwright melgibson k e i t h g o r d o n comedy music mystery
The Land Girls,"['catherinemccormack', 'rachelweisz', 'annafriel']",davidleland,[],"['drama', 'romance', 'war']", catherinemccormack rachelweisz annafriel d a v i d l e l a n d drama romance war
Fido,"['billyconnolly', 'carrie-annemoss', 'dylanbaker']",andrewcurrie,"['vororte', 'blackhumor', 'satire']","['romance', 'comedy', 'drama']",vororte blackhumor satire billyconnolly carrie-annemoss dylanbaker a n d r e w c u r r i e romance comedy drama
The Wendell Baker Story,"['lukewilson', 'evamendes', 'jacobvargas']",lukewilson,"['conman', 'releasefromprison', 'independentfilm']","['comedy', 'drama', 'romance']",conman releasefromprison independentfilm lukewilson evamendes jacobvargas l u k e w i l s o n comedy drama romance
Wild Target,"['billnighy', 'emilyblunt', 'rupertgrint']",jonathanlynn,"['londonengland', 'mother', 'robbery']","['action', 'comedy']",londonengland mother robbery billnighy emilyblunt rupertgrint j o n a t h a n l y n n action comedy
Pathology,"['miloventimiglia', 'alyssamilano', 'michaelweston']",marcschölermann,"['femalenudity', 'pathology', 'studentofmedicine']","['crime', 'horror', 'thriller']",femalenudity pathology studentofmedicine miloventimiglia alyssamilano michaelweston m a r c s c h ö l e r m a n n crime horror thriller
Wuthering Heights,"['tomhardy', 'charlotteriley', 'andrewlincoln']",cokygiedroyc,['womandirector'],['drama'],womandirector tomhardy charlotteriley andrewlincoln c o k y g i e d r o y c drama
10th & Wolf,"['jamesmarsden', 'briandennehy', 'leorossi']",robertmoresco,"['undercover', 'mafia', 'mobster']","['action', 'crime', 'drama']",undercover mafia mobster jamesmarsden briandennehy leorossi r o b e r t m o r e s c o action crime drama
Dear Wendy,"['jamiebell', 'billpullman', 'michaelangarano']",thomasvinterberg,"['underdog', 'secretsociety', 'friendship']","['comedy', 'crime', 'drama']",underdog secretsociety friendship jamiebell billpullman michaelangarano t h o m a s v i n t e r b e r g comedy crime drama
Aloft,"['jenniferconnelly', 'mélanielaurent', 'cillianmurphy']",claudiallosa,"['newage', 'womandirector', 'healer']",['drama'],newage womandirector healer jenniferconnelly mélanielaurent cillianmurphy c l a u d i a l l o s a drama
Akira,"['mitsuoiwata', 'nozomusasaki', 'mamikoyama']",katsuhiroōtomo,"['savingtheworld', 'totaldestruction', 'megacity']","['sciencefiction', 'animation']",savingtheworld totaldestruction megacity mitsuoiwata nozomusasaki mamikoyama k a t s u h i r o ō t o m o sciencefiction animation
The Death and Life of Bobby Z,"['paulwalker', 'laurencefishburne', 'oliviawilde']",johnherzfeld,"['vineyard', 'rifle', 'drugtrade']","['drama', 'action', 'thriller']",vineyard rifle drugtrade paulwalker laurencefishburne oliviawilde j o h n h e r z f e l d drama action thriller
The Rocket: The Legend of Rocket Richard,"['roydupuis', 'michelbarrette', 'rémygirard']",charlesbinamé,"['quebec', 'sport', 'icehockey']",['drama'],quebec sport icehockey roydupuis michelbarrette rémygirard c h a r l e s b i n a m é drama
Swelter,"['jean-claudevandamme', 'bradcarter', 'joshhenderson']",keithparmer,[],"['action', 'drama', 'thriller']", jean-claudevandamme bradcarter joshhenderson k e i t h p a r m e r action drama thriller
My Lucky Star,"['zhangziyi', 'leehomwang', 'rubylin']",denniegordon,"['hongkong', 'macau', 'womandirector']","['comedy', 'romance']",hongkong macau womandirector zhangziyi leehomwang rubylin d e n n i e g o r d o n comedy romance
Imagine Me & You,"['piperperabo', 'lenaheadey', 'matthewgoode']",olparker,"['londonengland', 'flowershop', 'homosexuality']","['drama', 'comedy', 'romance']",londonengland flowershop homosexuality piperperabo lenaheadey matthewgoode o l p a r k e r drama comedy romance
Mr. Church,"['eddiemurphy', 'brittrobertson', 'nataschamcelhone']",bruceberesford,"['cook', 'friendship']",['drama'],cook friendship eddiemurphy brittrobertson nataschamcelhone b r u c e b e r e s f o r d drama
Swimming Pool,"['charlotterampling', 'ludivinesagnier', 'charlesdance']",françoisozon,"['londonengland', 'femalenudity', 'women']","['thriller', 'crime']",londonengland femalenudity women charlotterampling ludivinesagnier charlesdance f r a n ç o i s o z o n thriller crime
Green Street Hooligans: Underground,"['scottadkins', 'joeyansah', 'kaceyclarke']",jamesnunn,[],"['action', 'drama']", scottadkins joeyansah kaceyclarke j a m e s n u n n action drama
The Blood of Heroes,"['rutgerhauer', 'joanchen', 'delroylindo']",davidwebbpeoples,"['martialarts', 'post-apocalyptic', 'sport']","['action', 'adventure', 'sciencefiction']",martialarts post-apocalyptic sport rutgerhauer joanchen delroylindo d a v i d w e b b p e o p l e s action adventure sciencefiction
Code of Honor,"['stevenseagal', 'craigsheffer', 'louismandylor']",michaelwinnick,[],"['action', 'crime', 'thriller']", stevenseagal craigsheffer louismandylor m i c h a e l w i n n i c k action crime thriller
Driving Miss Daisy,"['morganfreeman', 'jessicatandy', 'danaykroyd']",bruceberesford,"['individual', 'blackpeople', 'chauffeur']","['comedy', 'drama']",individual blackpeople chauffeur morganfreeman jessicatandy danaykroyd b r u c e b e r e s f o r d comedy drama
Soul Food,"['vivicaa.fox', 'nialong', 'michaelbeach']","georgetillman,jr.","['sister', 'familyrelationships', 'unity']","['comedy', 'drama']","sister familyrelationships unity vivicaa.fox nialong michaelbeach g e o r g e t i l l m a n , j r . comedy drama"
Rumble in the Bronx,"['jackiechan', 'anitamui', 'françoiseyip']",stanleytong,"['newyork', 'martialarts', 'supermarket']","['crime', 'action', 'comedy']",newyork martialarts supermarket jackiechan anitamui françoiseyip s t a n l e y t o n g crime action comedy
Far from Men,"['viggomortensen', 'redakateb', 'djemelbarek']",davidoelhoffen,"['fire', 'classroom', 'hostage']","['drama', 'war']",fire classroom hostage viggomortensen redakateb djemelbarek d a v i d o e l h o f f e n drama war
Thank You for Smoking,"['aaroneckhart', 'mariabello', 'cameronbright']",jasonreitman,"['fathersonrelationship', 'capitalism', 'basedonnovel']","['comedy', 'drama']",fathersonrelationship capitalism basedonnovel aaroneckhart mariabello cameronbright j a s o n r e i t m a n comedy drama
Hostel: Part II,"['laurengerman', 'bijouphillips', 'heathermatarazzo']",eliroth,"['prague', 'bratislava', 'castration']",['horror'],prague bratislava castration laurengerman bijouphillips heathermatarazzo e l i r o t h horror
An Education,"['careymulligan', 'oliviawilliams', 'petersarsgaard']",lonescherfig,"['adolescence', 'agedifference', 'self-discovery']","['drama', 'romance']",adolescence agedifference self-discovery careymulligan oliviawilliams petersarsgaard l o n e s c h e r f i g drama romance
Shopgirl,"['stevemartin', 'clairedanes', 'jasonschwartzman']",anandtucker,['salesclerk'],"['comedy', 'drama', 'romance']",salesclerk stevemartin clairedanes jasonschwartzman a n a n d t u c k e r comedy drama romance
The Hotel New Hampshire,"['roblowe', 'jodiefoster', 'paulmccrane']",tonyrichardson,"['suicide', 'bomb', 'prostitute']","['comedy', 'drama']",suicide bomb prostitute roblowe jodiefoster paulmccrane t o n y r i c h a r d s o n comedy drama
Narc,"['jasonpatric', 'rayliotta', 'chimcbride']",joecarnahan,"['assertion', 'investigation', 'internalaffairs']","['action', 'crime', 'drama']",assertion investigation internalaffairs jasonpatric rayliotta chimcbride j o e c a r n a h a n action crime drama
Men with Brooms,"['paulgross', 'mollyparker', 'leslienielsen']",paulgross,['sport'],['comedy'],sport paulgross mollyparker leslienielsen p a u l g r o s s comedy
Witless Protection,"['larrythecableguy', 'ivanamiličević', 'jennymccarthy']",charlesrobertcarner,[],"['action', 'adventure', 'comedy']", larrythecableguy ivanamiličević jennymccarthy c h a r l e s r o b e r t c a r n e r action adventure comedy
The Work and the Glory,"['samhennings', 'brendastrong', 'ericjohnson']",russellholt,[],"['drama', 'romance']", samhennings brendastrong ericjohnson r u s s e l l h o l t drama romance
Extract,"['jasonbateman', 'milakunis', 'kristenwiig']",mikejudge,"['infidelity', 'conman', 'thief']",['comedy'],infidelity conman thief jasonbateman milakunis kristenwiig m i k e j u d g e comedy
Masked and Anonymous,"['bobdylan', 'jeffbridges', 'penélopecruz']",larrycharles,"['journalist', 'musical', 'concert']","['drama', 'music']",journalist musical concert bobdylan jeffbridges penélopecruz l a r r y c h a r l e s drama music
Betty Fisher and Other Stories,"['sandrinekiberlain', 'nicolegarcia', 'mathildeseigner']",claudemiller,[],"['drama', 'thriller', 'crime']", sandrinekiberlain nicolegarcia mathildeseigner c l a u d e m i l l e r drama thriller crime
Code 46,"['timrobbins', 'samanthamorton', 'nabilelouahabi']",michaelwinterbottom,"['seattle', 'shanghai', 'future']","['drama', 'romance', 'sciencefiction']",seattle shanghai future timrobbins samanthamorton nabilelouahabi m i c h a e l w i n t e r b o t t o m drama romance sciencefiction
Outside Bet,"['bobhoskins', 'jennyagutter', 'phildavis']",sachabennett,['racehorse'],['comedy'],racehorse bobhoskins jennyagutter phildavis s a c h a b e n n e t t comedy
Albert Nobbs,"['glennclose', 'miawasikowska', 'aarontaylor-johnson']",rodrigogarcía,"['butler', 'dublin', 'maid']",['drama'],butler dublin maid glennclose miawasikowska aarontaylor-johnson r o d r i g o g a r c í a drama
Black November,"['razaaqadoti', 'sarahwaynecallies', 'mickeyrourke']",jetaamata,[],"['drama', 'action', 'crime']", razaaqadoti sarahwaynecallies mickeyrourke j e t a a m a t a drama action crime
Ta Ra Rum Pum,"['saifalikhan', 'ranimukerji', 'angelinaidnani']",siddharthanand,"['newyork', 'fromragstoriches', 'familyrelationships']","['family', 'comedy', 'romance']",newyork fromragstoriches familyrelationships saifalikhan ranimukerji angelinaidnani s i d d h a r t h a n a n d family comedy romance
Persepolis,"['chiaramastroianni', 'danielledarrieux', 'catherinedeneuve']",vincentparonnaud,"['civilwar', 'parentskidsrelationship', '1970s']","['animation', 'drama']",civilwar parentskidsrelationship 1970s chiaramastroianni danielledarrieux catherinedeneuve v i n c e n t p a r o n n a u d animation drama
The Hole,"['chrismassoglia', 'haleybennett', 'nathangamble']",joedante,"['basement', 'hole', 'littlebrother']","['thriller', 'adventure', 'fantasy']",basement hole littlebrother chrismassoglia haleybennett nathangamble j o e d a n t e thriller adventure fantasy
The Wave,"['jürgenvogel', 'fredericklau', 'maxriemelt']",dennisgansel,"['dictator', 'trainer', 'classroom']","['drama', 'thriller']",dictator trainer classroom jürgenvogel fredericklau maxriemelt d e n n i s g a n s e l drama thriller
The Neon Demon,"['ellefanning', 'karlglusman', 'jenamalone']",nicolaswindingrefn,['model'],"['thriller', 'horror']",model ellefanning karlglusman jenamalone n i c o l a s w i n d i n g r e f n thriller horror
Harry Brown,"['michaelcaine', 'emilymortimer', 'iainglen']",danielbarber,"['self-defense', 'widower']","['thriller', 'crime', 'drama']",self-defense widower michaelcaine emilymortimer iainglen d a n i e l b a r b e r thriller crime drama
The Omega Code,"['caspervandien', 'michaelyork', 'catherineoxenberg']",robertmarcarelli,"['bible', 'suspense', 'biblicalcode']","['horror', 'thriller']",bible suspense biblicalcode caspervandien michaelyork catherineoxenberg r o b e r t m a r c a r e l l i horror thriller
Juno,"['ellenpage', 'michaelcera', 'jennifergarner']",jasonreitman,"['sexuality', 'becominganadult', 'puberty']","['comedy', 'drama', 'romance']",sexuality becominganadult puberty ellenpage michaelcera jennifergarner j a s o n r e i t m a n comedy drama romance
Pound of Flesh,"['jean-claudevandamme', 'johnralston', 'darrenshahlavi']",erniebarbarash,[],['action'], jean-claudevandamme johnralston darrenshahlavi e r n i e b a r b a r a s h action
Diamonds Are Forever,"['seanconnery', 'jillst.john', 'charlesgray']",guyhamilton,"['spy', 'fight', 'secretorganization']","['adventure', 'action', 'thriller']",spy fight secretorganization seanconnery jillst.john charlesgray g u y h a m i l t o n adventure action thriller
The Godfather,"['marlonbrando', 'alpacino', 'jamescaan']",francisfordcoppola,"['italy', 'loveatfirstsight', 'lossoffather']","['drama', 'crime']",italy loveatfirstsight lossoffather marlonbrando alpacino jamescaan f r a n c i s f o r d c o p p o l a drama crime
Flashdance,"['jenniferbeals', 'michaelnouri', 'liliaskala']",adrianlyne,"['dancing', 'dance', 'locksmith']","['drama', 'music', 'romance']",dancing dance locksmith jenniferbeals michaelnouri liliaskala a d r i a n l y n e drama music romance
(500) Days of Summer,"['josephgordon-levitt', 'zooeydeschanel', 'chloëgracemoretz']",marcwebb,"['date', 'sex', 'jealousy']","['comedy', 'drama', 'romance']",date sex jealousy josephgordon-levitt zooeydeschanel chloëgracemoretz m a r c w e b b comedy drama romance
The Piano,"['hollyhunter', 'harveykeitel', 'samneill']",janecampion,"['lovetriangle', 'scotland', 'mother']","['drama', 'romance']",lovetriangle scotland mother hollyhunter harveykeitel samneill j a n e c a m p i o n drama romance
Magic Mike,"['channingtatum', 'matthewmcconaughey', 'alexpettyfer']",stevensoderbergh,"['dancing', 'florida', 'stripclub']","['drama', 'comedy']",dancing florida stripclub channingtatum matthewmcconaughey alexpettyfer s t e v e n s o d e r b e r g h drama comedy
Darkness Falls,"['chaneykley', 'emmacaulfield', 'leecormie']",jonathanliebesman,"['witch', 'lossofmother', 'smalltown']","['thriller', 'horror']",witch lossofmother smalltown chaneykley emmacaulfield leecormie j o n a t h a n l i e b e s m a n thriller horror
Live and Let Die,"['rogermoore', 'yaphetkotto', 'janeseymour']",guyhamilton,"['londonengland', 'newyork', 'bomb']","['adventure', 'action', 'thriller']",londonengland newyork bomb rogermoore yaphetkotto janeseymour g u y h a m i l t o n adventure action thriller
My Dog Skip,"['frankiemuniz', 'dianelane', 'kevinbacon']",jayrussell,"['mississippi', 'childhoodmemory', 'dog']","['comedy', 'drama', 'family']",mississippi childhoodmemory dog frankiemuniz dianelane kevinbacon j a y r u s s e l l comedy drama family
"Definitely, Maybe","['ryanreynolds', 'abigailbreslin', 'elizabethbanks']",adambrooks,"['lovesickness', ""loveofone'slife"", 'narration']","['comedy', 'romance']",lovesickness loveofone'slife narration ryanreynolds abigailbreslin elizabethbanks a d a m b r o o k s comedy romance
Jumping the Broom,"['paulapatton', 'juliebowen', 'meagangood']",salimakil,"['africanamerican', 'wedding', 'classdifferences']",['comedy'],africanamerican wedding classdifferences paulapatton juliebowen meagangood s a l i m a k i l comedy
"Good Night, and Good Luck.","['davidstrathairn', 'jeffdaniels', 'alexborstein']",georgeclooney,"['telecaster', 'communist', 'politicalactivism']","['drama', 'history']",telecaster communist politicalactivism davidstrathairn jeffdaniels alexborstein g e o r g e c l o o n e y drama history
Capote,"['philipseymourhoffman', 'alliemickelson', 'craigarchibald']",bennettmiller,"['gay', 'self-fulfillingprophecy', 'basedonnovel']","['crime', 'drama']",gay self-fulfillingprophecy basedonnovel philipseymourhoffman alliemickelson craigarchibald b e n n e t t m i l l e r crime drama
Desperado,"['antoniobanderas', 'salmahayek', 'joaquimdealmeida']",robertrodriguez,"['gunslinger', 'antiterror', 'ambush']","['thriller', 'action', 'crime']",gunslinger antiterror ambush antoniobanderas salmahayek joaquimdealmeida r o b e r t r o d r i g u e z thriller action crime
Logan's Run,"['michaelyork', 'richardjordan', 'jennyagutter']",michaelanderson,"['femalenudity', 'killerrobot', 'nudity']","['adventure', 'action', 'romance']",femalenudity killerrobot nudity michaelyork richardjordan jennyagutter m i c h a e l a n d e r s o n adventure action romance
The Man with the Golden Gun,"['rogermoore', 'christopherlee', 'brittekland']",guyhamilton,"['londonengland', 'england', 'martialarts']","['adventure', 'action', 'thriller']",londonengland england martialarts rogermoore christopherlee brittekland g u y h a m i l t o n adventure action thriller
Action Jackson,"['carlweathers', 'craigt.nelson', 'vanity']",craigr.baxley,"['showdown', 'suspicionofmurder', 'boxer']","['action', 'adventure', 'comedy']",showdown suspicionofmurder boxer carlweathers craigt.nelson vanity c r a i g r . b a x l e y action adventure comedy
The Descent,"['shaunamacdonald', 'nataliemendoza', 'alexreid']",neilmarshall,"['mutant', 'expedition', 'cave']","['adventure', 'horror']",mutant expedition cave shaunamacdonald nataliemendoza alexreid n e i l m a r s h a l l adventure horror
Michael Jordan to the Max,"['michaeljordan', 'philjackson', 'bobcostas']",jamesd.stern,['sport'],['documentary'],sport michaeljordan philjackson bobcostas j a m e s d . s t e r n documentary
Devil's Due,"['allisonmiller', 'zachgilford', 'samanderson']",mattbettinelli-olpin,['foundfootage'],['horror'],foundfootage allisonmiller zachgilford samanderson m a t t b e t t i n e l l i - o l p i n horror
Flirting with Disaster,"['benstiller', 'patriciaarquette', 'téaleoni']",davido.russell,"['lsd', 'lookingforbirthparents', 'half-brother']","['comedy', 'romance']",lsd lookingforbirthparents half-brother benstiller patriciaarquette téaleoni d a v i d o . r u s s e l l comedy romance
The Devil's Rejects,"['sidhaig', 'billmoseley', 'sherimoonzombie']",robzombie,"['sadistic', 'killing', 'fire']","['drama', 'horror', 'crime']",sadistic killing fire sidhaig billmoseley sherimoonzombie r o b z o m b i e drama horror crime
Dope,"['shameikmoore', 'kierseyclemons', 'tonyrevolori']",rickfamuyiwa,"['california', 'hip-hop', 'harvarduniversity']","['crime', 'drama', 'comedy']",california hip-hop harvarduniversity shameikmoore kierseyclemons tonyrevolori r i c k f a m u y i w a crime drama comedy
In Too Deep,"['omarepps', 'llcoolj', 'nialong']",michaelrymer,[],"['drama', 'action', 'thriller']", omarepps llcoolj nialong m i c h a e l r y m e r drama action thriller
House of 1000 Corpses,"['sidhaig', 'billmoseley', 'sherimoonzombie']",robzombie,"['upperclass', 'halloween', 'psychopath']",['horror'],upperclass halloween psychopath sidhaig billmoseley sherimoonzombie r o b z o m b i e horror
Alien Zone,"['johnericson', 'ivorfrancis', 'judithnovgrod']",sharronmiller,[],"['horror', 'action', 'thriller']", johnericson ivorfrancis judithnovgrod s h a r r o n m i l l e r horror action thriller
A Serious Man,"['michaelstuhlbarg', 'richardkind', 'fredmelamed']",joelcoen,"['professor', 'darkcomedy', 'telephonecall']","['comedy', 'drama']",professor darkcomedy telephonecall michaelstuhlbarg richardkind fredmelamed j o e l c o e n comedy drama
Get Low,"['billmurray', 'sissyspacek', 'robertduvall']",aaronschneider,['independentfilm'],"['comedy', 'drama', 'mystery']",independentfilm billmurray sissyspacek robertduvall a a r o n s c h n e i d e r comedy drama mystery
Warlock,"['juliansands', 'lorisinger', 'richarde.grant']",steveminer,"['witch', 'cemetery', 'magic']","['adventure', 'comedy', 'fantasy']",witch cemetery magic juliansands lorisinger richarde.grant s t e v e m i n e r adventure comedy fantasy
Beyond the Lights,"['gugumbatha-raw', 'nateparker', 'minniedriver']",ginaprince-bythewood,"['talent', 'success', 'musician']","['romance', 'drama']",talent success musician gugumbatha-raw nateparker minniedriver g i n a p r i n c e - b y t h e w o o d romance drama
A Single Man,"['colinfirth', 'juliannemoore', 'nicholashoult']",tomford,"['gay', 'basedonnovel', 'suicidal']","['drama', 'romance']",gay basedonnovel suicidal colinfirth juliannemoore nicholashoult t o m f o r d drama romance
The Last Temptation of Christ,"['willemdafoe', 'harveykeitel', 'barbarahershey']",martinscorsese,"['christianity', 'traitor', 'jesuschrist']",['drama'],christianity traitor jesuschrist willemdafoe harveykeitel barbarahershey m a r t i n s c o r s e s e drama
Outside Providence,"['shawnhatosy', 'amysmart', 'alecbaldwin']",michaelcorrente,"['suicide', 'sex', 'sexuality']","['romance', 'comedy', 'drama']",suicide sex sexuality shawnhatosy amysmart alecbaldwin m i c h a e l c o r r e n t e romance comedy drama
Bride & Prejudice,"['aishwaryaraibachchan', 'martinhenderson', 'naveenandrews']",gurinderchadha,"['indianlead', 'bollywood', 'moderndayadaptation']","['drama', 'comedy', 'music']",indianlead bollywood moderndayadaptation aishwaryaraibachchan martinhenderson naveenandrews g u r i n d e r c h a d h a drama comedy music
Rabbit-Proof Fence,"['everlynsampi', 'tiannasansbury', 'lauramonaghan']",phillipnoyce,"['childabuse', 'sistersisterrelationship', 'prosecution']","['adventure', 'drama', 'action']",childabuse sistersisterrelationship prosecution everlynsampi tiannasansbury lauramonaghan p h i l l i p n o y c e adventure drama action
Who's Your Caddy?,"['mickpartridge', 'bigboi', 'sherrishepherd']",donmichaelpaul,['sport'],['comedy'],sport mickpartridge bigboi sherrishepherd d o n m i c h a e l p a u l comedy
Split Second,"['rutgerhauer', 'kimcattrall', 'michaelj.pollard']",tonymaylam,"['flooding', 'futuristic', 'policedetective']","['thriller', 'action', 'horror']",flooding futuristic policedetective rutgerhauer kimcattrall michaelj.pollard t o n y m a y l a m thriller action horror
The Other Side of Heaven,"['christophergorham', 'annehathaway', 'joefolau']",mitchdavis,"['basedonnovel', 'biography']","['action', 'adventure', 'drama']",basedonnovel biography christophergorham annehathaway joefolau m i t c h d a v i s action adventure drama
Veer-Zaara,"['shahrukhkhan', 'preityzinta', 'ranimukerji']",yashchopra,"[""loveofone'slife"", 'pilot', 'classsociety']","['drama', 'romance']",loveofone'slife pilot classsociety shahrukhkhan preityzinta ranimukerji y a s h c h o p r a drama romance
Redbelt,"['chiwetelejiofor', 'timallen', 'alicebraga']",davidmamet,"['filmmaking', 'filmproducer', 'videosurveillance']",['drama'],filmmaking filmproducer videosurveillance chiwetelejiofor timallen alicebraga d a v i d m a m e t drama
Cyrus,"['johnc.reilly', 'jonahhill', 'marisatomei']",jayduplass,['mumblecore'],"['comedy', 'drama', 'romance']",mumblecore johnc.reilly jonahhill marisatomei j a y d u p l a s s comedy drama romance
A Dog Of Flanders,"['jackwarden', 'jeremyjameskissner', 'jessejames']",kevinbrodie,[],"['drama', 'family']", jackwarden jeremyjameskissner jessejames k e v i n b r o d i e drama family
Auto Focus,"['gregkinnear', 'willemdafoe', 'ritawilson']",paulschrader,"['malenudity', 'adultery', 'basedonnovel']","['drama', 'crime']",malenudity adultery basedonnovel gregkinnear willemdafoe ritawilson p a u l s c h r a d e r drama crime
Factory Girl,"['siennamiller', 'guypearce', 'haydenchristensen']",georgehickenlooper,"['newyork', 'alcohol', 'sex']",['drama'],newyork alcohol sex siennamiller guypearce haydenchristensen g e o r g e h i c k e n l o o p e r drama
We Need to Talk About Kevin,"['johnc.reilly', 'tildaswinton', 'ezramiller']",lynneramsay,"['suburb', 'violence', 'killingspree']","['drama', 'thriller']",suburb violence killingspree johnc.reilly tildaswinton ezramiller l y n n e r a m s a y drama thriller
The Christmas Candle,"['hansmatheson', 'samanthabarks', 'lesleymanville']",johnstephenson,"['angel', 'miracle', 'village']","['drama', 'family']",angel miracle village hansmatheson samanthabarks lesleymanville j o h n s t e p h e n s o n drama family
